sku,image,color,origin,size,description,color1,color2,color3,error
10213,https://drive.google.com/uc?export=view&id=1vqC4ArZKjhMfUrKtxhnlefseUF9yfCgB,#ffffff;#635a52;#52423a,,,Color: #ffffff;#635a52;#52423a,#ffffff,#635a52,#52423a,
10214,https://drive.google.com/uc?export=view&id=1nCxXhAoGuqbqk60jvGXqTEvNnyX2s_sA,#846b52;#8c735a;#7b634a,,,Color: #846b52;#8c735a;#7b634a,#846b52,#8c735a,#7b634a,
10215,https://drive.google.com/uc?export=view&id=1r5CjoCrNla1gBfasqUVuGERj7SnHsmrD,#ffffff;#6b635a;#73635a,,,Color: #ffffff;#6b635a;#73635a,#ffffff,#6b635a,#73635a,
10216,https://drive.google.com/uc?export=view&id=1X8NXIIMgrzBjnqJGSlglFnFqJuUvziGr,#ffffff;#8c7363;#a58c7b,,,Color: #ffffff;#8c7363;#a58c7b,#ffffff,#8c7363,#a58c7b,
10217,https://drive.google.com/uc?export=view&id=1b0vb_WDtYl2bBcIEzMuaSNPYv2ybD8JC,#ffffff;#9c4242;#943a3a,,,Color: #ffffff;#9c4242;#943a3a,#ffffff,#9c4242,#943a3a,
10218,https://drive.google.com/uc?export=view&id=1m_wo0RNIvd1zuRr15-CMNlvx_zjjw0pr,#ffffff;#94735a;#9c7b63,,,Color: #ffffff;#94735a;#9c7b63,#ffffff,#94735a,#9c7b63,
10219,,,,,,,,,no-image
10220,https://drive.google.com/uc?export=view&id=1LNv0lzfgFtki8KQcANbIRKDH_FuyeFcT,#8c7352;#947b5a;#8c6b52,,,Color: #8c7352;#947b5a;#8c6b52,#8c7352,#947b5a,#8c6b52,
10221,https://drive.google.com/uc?export=view&id=1W_xtU0I4NlALsBsyhKy02xDgz88f2NP_,#84634a;#8c6b52;#8c634a,,,Color: #84634a;#8c6b52;#8c634a,#84634a,#8c6b52,#8c634a,
10222,https://drive.google.com/uc?export=view&id=1J05rpxfP3tVHkURCDmJG8JP6iRLcKn5j,#ffffff;#9c847b;#9c8c84,,,Color: #ffffff;#9c847b;#9c8c84,#ffffff,#9c847b,#9c8c84,
10223,https://drive.google.com/uc?export=view&id=1QS5BUiexOfl9QE7A4-GD6uZHXBP7Ocr3,#ffffff;#94735a;#7b5a42,,,Color: #ffffff;#94735a;#7b5a42,#ffffff,#94735a,#7b5a42,
10224,https://drive.google.com/uc?export=view&id=1hyjNhVD8xeCSWNIQpy76z4tcj-0IHnXx,#945a4a;#8c6352;#946352,,,Color: #945a4a;#8c6352;#946352,#945a4a,#8c6352,#946352,
10225,https://drive.google.com/uc?export=view&id=1R0mdIzNu5gBplIrR7jz6W4cyQxwNIFQJ,#ffffff;#8c634a;#845a42,,,Color: #ffffff;#8c634a;#845a42,#ffffff,#8c634a,#845a42,
10226,https://drive.google.com/uc?export=view&id=1C7FPeemeUwO8w1CnD_mD8lcTrE2g3but,#a5735a;#ad8c6b;#ad8463,,,Color: #a5735a;#ad8c6b;#ad8463,#a5735a,#ad8c6b,#ad8463,
